date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand
2018-06-22,Marin Cilic,Sam Querrey,0.5047,0.4954,RH,RH
2018-06-25,Andy Murray,Stan Wawrinka,0.5548,0.4453,RH,RH
2018-06-25,Karolina Pliskova,Anastasia Pavlyuchenkova,0.5452,0.4548,RH,RH
2018-06-27,Aryna Sabalenka,Elise Mertens,0.5805,0.4195,RH,RH
2018-06-27,Caroline Wozniacki,Johanna Konta,0.5516,0.4484,RH,RH
2018-07-05,Ashleigh Barty,Eugenie Bouchard,0.6669,0.333,RH,RH
2018-07-06,Kiki Bertens,Venus Williams,0.5479,0.4521,RH,RH
2018-07-09,Jelena Ostapenko,Aliaksandra Sasnovich,0.6112,0.3889,RH,RH
2018-07-10,Julia Goerges,Kiki Bertens,0.6246,0.3753,RH,RH
2018-07-11,Novak Djokovic,Kei Nishikori,0.6041,0.3959,RH,RH
2018-07-20,Anastasija Sevastova,Sorana Cirstea,0.676,0.324,RH,RH
2018-07-29,John Isner,Ryan Harrison,0.6726,0.3274,RH,RH
2018-08-04,Alexander Zverev,Kei Nishikori,0.6251,0.3749,RH,RH
2018-08-04,Juan Martin Del Potro,Damir Dzumhur,0.7279,0.2721,RH,RH
2018-08-05,Alex De Minaur,Andrey Rublev,0.4655,0.5345,RH,RH
2018-08-05,Fabio Fognini,Juan Martin Del Potro,0.2865,0.7135,RH,RH
2018-08-07,Johanna Konta,Jelena Ostapenko,0.5015,0.4985,RH,RH
2018-08-09,Anastasija Sevastova,Julia Goerges,0.3558,0.6442,RH,RH
2018-08-09,Aryna Sabalenka,Caroline Wozniacki,0.5101,0.4899,RH,RH
2018-08-09,Elina Svitolina,Johanna Konta,0.4639,0.536,RH,RH
2018-08-09,Marin Cilic,Diego Schwartzman,0.6127,0.3873,RH,RH
2018-08-10,Elise Mertens,Aryna Sabalenka,0.4749,0.5251,RH,RH
2018-08-10,Simona Halep,Caroline Garcia,0.5845,0.4155,RH,RH
2018-08-10,Simona Halep,Venus Williams,0.4685,0.5315,RH,RH
2018-08-11,Elina Svitolina,Elise Mertens,0.4924,0.5076,RH,RH
2018-08-14,Karolina Pliskova,Agnieszka Radwanska,0.5539,0.4461,RH,RH
2018-08-15,Aryna Sabalenka,Karolina Pliskova,0.5156,0.4843,RH,RH
2018-08-15,Lesia Tsurenko,Garbine Muguruza,0.5652,0.4348,RH,RH
2018-08-16,Kiki Bertens,Caroline Wozniacki,0.5563,0.4437,RH,RH
2018-08-16,Stan Wawrinka,Kei Nishikori,0.478,0.522,RH,RH
2018-08-17,Kiki Bertens,Anett Kontaveit,0.4884,0.5116,RH,RH
2018-08-17,Novak Djokovic,Grigor Dimitrov,0.6396,0.3604,RH,RH
2018-08-17,Simona Halep,Ashleigh Barty,0.4328,0.5672,RH,RH
2018-08-18,Aryna Sabalenka,Madison Keys,0.6043,0.3957,RH,RH
2018-08-18,David Goffin,Juan Martin Del Potro,0.3863,0.6137,RH,RH
2018-08-18,Novak Djokovic,Marin Cilic,0.4922,0.5077,RH,RH
2018-08-18,Roger Federer,Stan Wawrinka,0.7199,0.2801,RH,RH
2018-08-19,Magdalena Rybarikova,Coco Vandeweghe,0.5112,0.4888,RH,RH
2018-08-20,Aliaksandra Sasnovich,Kristina Mladenovic,0.4158,0.5841,RH,RH
2018-08-24,Aryna Sabalenka,Julia Goerges,0.4618,0.5382,RH,RH
2018-08-27,Anastasija Sevastova,Donna Vekic,0.5363,0.4637,RH,RH
2018-08-27,Kevin Anderson,Ryan Harrison,0.53,0.47,RH,RH
2018-08-30,Dominika Cibulkova,Su Wei Hsieh,0.5901,0.4099,RH,RH
2018-09-01,Roger Federer,Nick Kyrgios,0.5906,0.4094,RH,RH
2018-09-02,Dominic Thiem,Kevin Anderson,0.3103,0.6898,RH,RH
2018-09-02,Karolina Pliskova,Ashleigh Barty,0.6098,0.3902,RH,RH
2018-09-03,Sloane Stephens,Elise Mertens,0.4375,0.5625,RH,RH
2018-09-04,Juan Martin Del Potro,John Isner,0.3992,0.6008,RH,RH
2018-09-06,Madison Keys,Carla Suarez Navarro,0.5305,0.4695,RH,RH
2018-09-07,Naomi Osaka,Madison Keys,0.496,0.504,RH,RH
2018-09-07,Serena Williams,Anastasija Sevastova,0.5764,0.4236,RH,RH
2018-09-08,Novak Djokovic,Kei Nishikori,0.5989,0.4011,RH,RH
2018-09-15,Su Wei Hsieh,Qiang Wang,0.5608,0.4392,RH,RH
2018-09-20,Donna Vekic,Johanna Konta,0.5112,0.4888,RH,RH
2018-09-23,Karolina Pliskova,Naomi Osaka,0.6077,0.3923,RH,RH
2018-09-24,Aryna Sabalenka,Carla Suarez Navarro,0.6381,0.3619,RH,RH
2018-09-24,Ashleigh Barty,Johanna Konta,0.4846,0.5154,RH,RH
2018-09-28,Aryna Sabalenka,Ashleigh Barty,0.5899,0.4101,RH,RH
2018-10-01,Julia Goerges,Lesia Tsurenko,0.6619,0.3381,RH,RH
2018-10-03,Anastasija Sevastova,Donna Vekic,0.5406,0.4594,RH,RH
2018-10-03,Dominika Cibulkova,Sloane Stephens,0.4901,0.5099,RH,RH
2018-10-03,Juan Martin Del Potro,Karen Khachanov,0.6089,0.3911,RH,RH
2018-10-04,Aryna Sabalenka,Caroline Garcia,0.6316,0.3684,RH,RH
2018-10-04,Caroline Wozniacki,Anett Kontaveit,0.6325,0.3674,RH,RH
2018-10-04,Fabio Fognini,Andrey Rublev,0.3754,0.6247,RH,RH
2018-10-04,Naomi Osaka,Julia Goerges,0.3868,0.6133,RH,RH
2018-10-05,Caroline Wozniacki,Katerina Siniakova,0.5947,0.4053,RH,RH
2018-10-06,Caroline Wozniacki,Qiang Wang,0.6564,0.3436,RH,RH
2018-10-06,Juan Martin Del Potro,Fabio Fognini,0.7196,0.2804,RH,RH
2018-10-07,Caroline Wozniacki,Anastasija Sevastova,0.5349,0.4651,RH,RH
2018-10-09,Benoit Paire,Pablo Carreno Busta,0.5289,0.4711,RH,RH
2018-10-11,Alexander Zverev,Alex De Minaur,0.6754,0.3246,RH,RH
2018-10-11,Borna Coric,Juan Martin Del Potro,0.3569,0.6431,RH,RH
2018-10-11,Kevin Anderson,Stefanos Tsitsipas,0.681,0.319,RH,RH
2018-10-12,Roger Federer,Kei Nishikori,0.7519,0.248,RH,RH
2018-10-12,Su Wei Hsieh,Elise Mertens,0.4229,0.5771,RH,RH
2018-10-13,Novak Djokovic,Alexander Zverev,0.4424,0.5576,RH,RH
2018-10-14,Caroline Garcia,Karolina Pliskova,0.4154,0.5846,RH,RH
2018-10-14,Novak Djokovic,Borna Coric,0.5559,0.4441,RH,RH
2018-10-16,Carla Suarez Navarro,Karolina Pliskova,0.4985,0.5015,RH,RH
2018-10-17,Anastasija Sevastova,Yulia Putintseva,0.6666,0.3334,RH,RH
2018-10-19,Daria Kasatkina,Johanna Konta,0.4013,0.5987,RH,RH
2018-10-21,Karolina Pliskova,Caroline Wozniacki,0.5133,0.4867,RH,RH
2018-10-23,Elina Svitolina,Karolina Pliskova,0.4608,0.5392,RH,RH
2018-10-25,Elina Svitolina,Caroline Wozniacki,0.4821,0.5179,RH,RH
2018-10-27,Elina Svitolina,Kiki Bertens,0.5063,0.4937,RH,RH
2018-10-28,Elina Svitolina,Sloane Stephens,0.6012,0.3988,RH,RH
2018-10-30,Aryna Sabalenka,Ashleigh Barty,0.58,0.42,RH,RH
2018-10-30,Daria Kasatkina,Qiang Wang,0.3536,0.6464,RH,RH
2018-10-30,Elise Mertens,Anett Kontaveit,0.4991,0.5009,RH,RH
2018-10-31,Dominic Thiem,Gilles Simon,0.4285,0.5715,RH,RH
2018-11-01,Ashleigh Barty,Caroline Garcia,0.5215,0.4785,RH,RH
2018-11-01,Kei Nishikori,Kevin Anderson,0.3319,0.6681,RH,RH
2018-11-02,Caroline Garcia,Aryna Sabalenka,0.3775,0.6225,RH,RH
2018-11-02,Novak Djokovic,Marin Cilic,0.4945,0.5055,RH,RH
2018-11-02,Roger Federer,Kei Nishikori,0.7428,0.2572,RH,RH
2018-11-03,Qiang Wang,Garbine Muguruza,0.5103,0.4897,RH,RH
2018-11-11,Kei Nishikori,Roger Federer,0.2572,0.7428,RH,RH
2018-11-11,Kevin Anderson,Dominic Thiem,0.5535,0.4465,RH,RH
2018-11-13,Kevin Anderson,Kei Nishikori,0.6711,0.3289,RH,RH
2018-11-14,Novak Djokovic,Alexander Zverev,0.4997,0.5003,RH,RH
2018-11-16,Alexander Zverev,John Isner,0.4456,0.5544,RH,RH
2018-11-16,Novak Djokovic,Marin Cilic,0.4894,0.5106,RH,RH
2018-11-17,Alexander Zverev,Roger Federer,0.2777,0.7224,RH,RH
2018-11-18,Alexander Zverev,Novak Djokovic,0.5003,0.4997,RH,RH
